requestid,problem_code,date_initiated,description,category,dispatch_to,address,zone,keymap,zip_code,status,initiated_date,initiated_time
220707,Tree Removal,2025-04-02 01:41 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","Cotswold Blvd & Woodland Hills Dr,  Kingwood,  Texas,  77339","4, ZONE",336G,77339,CLOSED,2025-04-02,01:41 PM
220709,Tree Trim,2025-04-02 01:56 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","S Braeswood Blvd & Main St,  Houston,  Texas,  77030","7, ZONE",532L,77030,CLOSED,2025-04-02,01:56 PM
220710,Tree Removal,2025-04-02 02:05 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY","5731 Ariel St,  Houston,  Texas,  77096","7, ZONE",531N,77096,CLOSED,2025-04-02,02:05 PM
220711,Tree Removal,2025-04-02 02:08 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","7056 Dillon St,  Houston,  Texas,  77061","6, ZONE",574D,77061,CLOSED,2025-04-02,02:08 PM
220719,Tree Removal,2025-04-02 03:38 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","4010 Spruce Valley Dr,  Kingwood,  Texas,  77345","4, ZONE",297Y,77345,CLOSED,2025-04-02,03:38 PM
220721,Tree Trim,2025-04-02 05:00 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1975 Heights Blvd,  Houston,  Texas,  77008","3, ZONE",453S,77008,CLOSED,2025-04-02,05:00 PM
220722,Tree Trim,2025-04-02 05:06 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","617 Peddie St,  Houston,  Texas,  77008","3, ZONE",453W,77008,CLOSED,2025-04-02,05:06 PM
220723,Tree Removal,2025-04-02 05:48 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY","6318 Haskell St,  Houston,  Texas,  77007","2, ZONE",492F,77007,CLOSED,2025-04-02,05:48 PM
220752,Tree Trim,2025-04-03 08:26 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","807 N San Jacinto St,  Houston,  Texas,  77002","1, ZONE",493M,77002,CLOSED,2025-04-03,08:26 AM
220753,Tree Removal,2025-04-03 08:29 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","4010 Hain St,  Houston,  Texas,  77009","4, ZONE",453Y,77009,CLOSED,2025-04-03,08:29 AM
220754,Tree Removal,2025-04-03 08:38 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","8706 Prichett Dr,  Houston,  Texas,  77096","7, ZONE",531P,77096,CLOSED,2025-04-03,08:38 AM
220755,Tree Trim,2025-04-03 09:08 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","5223 Stamper Way,  Houston,  Texas,  77056","2, ZONE",491U,77056,CLOSED,2025-04-03,09:08 AM
220756,Tree Stump Grinding,2025-04-03 09:15 AM,Tree Stump Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","6312 Norland St,  Houston,  Texas,  77022","4, ZONE",453Q,77022,CLOSED,2025-04-03,09:15 AM
220765,Tree Trim,2025-04-03 10:57 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","10203 Hinds St,  Houston,  Texas,  77034","5, ZONE",576F,77034,CLOSED,2025-04-03,10:57 AM
220766,Tree Removal,2025-04-03 11:00 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","5801 Woodway Dr,  Houston,  Texas,  77057","2, ZONE",491K,77057,CLOSED,2025-04-03,11:00 AM
220769,Tree Trim,2025-04-03 11:18 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","5333 Berry Creek Dr,  Houston,  Texas,  77017 (Meadowcreek Village Park)","5, ZONE",536S,77017,ROUTE,2025-04-03,11:18 AM
220770,Tree Trim,2025-04-03 11:24 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","Hahlo St & Leslie St,  Houston,  Texas,  77020","5, ZONE",494M,77020,CLOSED,2025-04-03,11:24 AM
220778,Tree Removal,2025-04-03 11:54 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY","9600 Doud Rd,  Houston,  Texas,  77096","7, ZONE",531U,77096,CLOSED,2025-04-03,11:54 AM
220781,Tree Removal,2025-04-03 12:39 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","Valley Manor Dr & Kingwood Dr,  Kingwood,  Texas,  77339","4, ZONE",337A,77339,CLOSED,2025-04-03,12:39 PM
220782,Tree Removal,2025-04-03 12:48 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY","9903 Milda Dr,  Houston,  Texas,  77088","3, ZONE",411N,77088,CLOSED,2025-04-03,12:48 PM
220783,Tree Trim,2025-04-03 12:51 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","4819 Eppes St,  Houston,  Texas,  77021","6, ZONE",534J,77021,CLOSED,2025-04-03,12:51 PM
220784,Tree Trim,2025-04-03 01:15 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","9022 Quebec Dr,  Houston,  Texas,  77096","7, ZONE",531S,77096,CLOSED,2025-04-03,01:15 PM
220787,Tree Trim,2025-04-03 01:36 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1210 Roxella St,  Houston,  Texas,  77076","4, ZONE",413Y,77076,CLOSED,2025-04-03,01:36 PM
220789,Tree Trim,2025-04-03 01:46 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - BHATTARAI, NIMESH","2110 Webster St,  Houston,  Texas,  77003","6, ZONE",493U,77003,CLOSED,2025-04-03,01:46 PM
220790,Tree Trim,2025-04-03 01:49 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","4418 Ingersoll St,  Houston,  Texas,  77027","2, ZONE",491Z,77027,CLOSED,2025-04-03,01:49 PM
220792,Tree Trim,2025-04-03 01:57 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","4031 Leeland St,  Houston,  Texas,  77023","5, ZONE",494S,77023,CLOSED,2025-04-03,01:57 PM
220794,Tree Trim,2025-04-03 02:49 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","4040 Gulf Fwy,  Houston,  Texas,  77004","6, ZONE",494W,77004,CLOSED,2025-04-03,02:49 PM
220795,Tree Trim,2025-04-03 03:01 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","8203 Vogue Ln,  Houston,  Texas,  77055","3, ZONE",451N,77055,CLOSED,2025-04-03,03:01 PM
220796,Tree Removal,2025-04-03 03:13 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","7550 Weyburn St,  Houston,  Texas,  77028","4, ZONE",455E,77028,ROUTE,2025-04-03,03:13 PM
220797,Tree Removal,2025-04-03 03:46 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","12026 Arrowhead Glen Dr,  Houston,  Texas,  77071","7, ZONE",570F,77071,CLOSED,2025-04-03,03:46 PM
220798,Tree Removal,2025-04-03 03:55 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - BHATTARAI, NIMESH","7935 Candlegreen Ln,  Houston,  Texas,  77071","7, ZONE",570G,77071,CLOSED,2025-04-03,03:55 PM
220799,Tree Trim,2025-04-03 04:10 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","8100 Gallahad St,  Houston,  Texas,  77078","4, ZONE",455B,77078,CLOSED,2025-04-03,04:10 PM
220800,Tree Trim,2025-04-03 05:19 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","14630 Sun Rd,  Humble,  Texas,  77396 (Edmonds Park)","4, ZONE",375W,77396,CLOSED,2025-04-03,05:19 PM
220801,Tree Removal,2025-04-03 05:19 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","6818 Richwood Rd,  Houston,  Texas,  77087","6, ZONE",534V,77087,CLOSED,2025-04-03,05:19 PM
220802,Tree Trim,2025-04-03 05:31 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","3011 Evella St,  Houston,  Texas,  77026","4, ZONE",454W,77026,CLOSED,2025-04-03,05:31 PM
220803,Tree Stump Grinding,2025-04-03 05:37 PM,Tree Stump Inspection,TREEMAINTENANCE,"UF - ACOSTA, MELISSA","10651 Chapel Hill Dr,  Houston,  Texas,  77099","2, ZONE",528Z,77099,CLOSED,2025-04-03,05:37 PM
220804,Tree Trim,2025-04-03 06:43 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","708 Hartman St,  Houston,  Texas,  77007","2, ZONE",492M,77007,ROUTE,2025-04-03,06:43 PM
220805,Tree Trim,2025-04-03 08:01 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","610 Rutland St,  Houston,  Texas,  77007","3, ZONE",492D,77007,CLOSED,2025-04-03,08:01 PM
220812,Tree Removal,2025-04-04 08:13 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","4402 Antha St,  Houston,  Texas,  77093","4, ZONE",454B,77093,CLOSED,2025-04-04,08:13 AM
220815,Tree Trim,2025-04-04 08:28 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","716 Link Rd,  Houston,  Texas,  77009","3, ZONE",453T,77009,CLOSED,2025-04-04,08:28 AM
220819,Tree Trim,2025-04-04 09:19 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","5938 Pershing St,  Houston,  Texas,  77033","6, ZONE",534T,77033,CLOSED,2025-04-04,09:19 AM
220820,Tree Removal,2025-04-04 09:59 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - BHATTARAI, NIMESH","7962 Candlegreen Ln,  Houston,  Texas,  77071","7, ZONE",570G,77071,CLOSED,2025-04-04,09:59 AM
220821,Tree Removal,2025-04-04 09:59 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","7713 Glenbrae St,  Houston,  Texas,  77061","6, ZONE",535X,77061,CLOSED,2025-04-04,09:59 AM
220823,Tree Removal,2025-04-04 11:07 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","12301 Palmdate St,  Houston,  Texas,  77034","5, ZONE",576M,77034,ROUTE,2025-04-04,11:07 AM
220825,Tree Trim,2025-04-04 11:25 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","215 Mcgowen St,  Houston,  Texas,  77006","2, ZONE",493P,77006,CLOSED,2025-04-04,11:25 AM
220827,Tree Removal,2025-04-04 11:41 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - BHATTARAI, NIMESH","5003 Ridgestone Ln,  Houston,  Texas,  77053","7, ZONE",611D,77053,CLOSED,2025-04-04,11:41 AM
220828,Tree Trim,2025-04-04 11:41 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","9500 Mesa Dr,  Houston,  Texas,  77078","4, ZONE",455C,77078,CLOSED,2025-04-04,11:41 AM
220830,Tree Trim,2025-04-04 12:01 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","12307 Braesridge Dr,  Houston,  Texas,  77071","7, ZONE",570G,77071,CLOSED,2025-04-04,12:01 PM
220831,Tree Removal,2025-04-04 12:07 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","7755 Hereford St,  Houston,  Texas,  77087","6, ZONE",535T,77087,ROUTE,2025-04-04,12:07 PM
220832,Tree Removal,2025-04-04 12:50 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","Airport Blvd & Martin Luther King Blvd,  Houston,  Texas,  77048","6, ZONE",574E,77048,CLOSED,2025-04-04,12:50 PM
220836,Tree Trim,2025-04-04 02:20 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1324 Pine Chase Dr,  Houston,  Texas,  77055","3, ZONE",451W,77055,CLOSED,2025-04-04,02:20 PM
220837,Tree Code Violation,2025-04-04 02:59 PM,Tree Code Violation Inspection,TREEPROTECTION,"UF - ERICKSON, IAN","9218 Tidwell Rd,  Houston,  Texas,  77078","4, ZONE",455D,77078,CLOSED,2025-04-04,02:59 PM
220838,Tree Removal,2025-04-04 03:02 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","800 75Th St,  Houston,  Texas,  77023","5, ZONE",495S,77012,CLOSED,2025-04-04,03:02 PM
220839,Tree Trim,2025-04-04 03:15 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","15506 Poplar Springs Ln,  Houston,  Texas,  77062","5, ZONE",618F,77062,CLOSED,2025-04-04,03:15 PM
220842,Tree Trim,2025-04-04 04:53 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","2001 - 2049 Nicholson St,  Houston,  Texas,  77008","3, ZONE",452V,77008,CLOSED,2025-04-04,04:53 PM
220843,Tree Trim,2025-04-04 04:56 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","Saums Rd & Barker Cypress Rd,  Houston,  Texas,  77084","3, ZONE",447S,77084,CLOSED,2025-04-04,04:56 PM
220844,Tree Removal,2025-04-04 06:00 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ACOSTA, MELISSA","1112 E 16Th St,  Houston,  Texas,  77009","3, ZONE",453W,77009,CLOSED,2025-04-04,06:00 PM
220846,Tree Removal,2025-04-04 07:03 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","541 S 75Th St,  Houston,  Texas,  77023 (Mason Park)","5, ZONE",535A,77023,CLOSED,2025-04-04,07:03 PM
220847,Tree Removal,2025-04-04 07:27 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","6606 Ezzard Charles Ln,  Houston,  Texas,  77091","3, ZONE",412W,77091,CLOSED,2025-04-04,07:27 PM
220848,Tree Removal,2025-04-04 08:45 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1532 Herkimer St,  Houston,  Texas,  77008","3, ZONE",452Z,77008,CLOSED,2025-04-04,08:45 PM
220849,Tree Removal,2025-04-05 07:23 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","4730 Waring St,  Houston,  Texas,  77027","2, ZONE",491Z,77027,ROUTE,2025-04-05,07:23 AM
220850,Tree Trim,2025-04-05 08:23 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","1598 W Hedrick St,  Houston,  Texas,  77011","5, ZONE",495S,77011,CLOSED,2025-04-05,08:23 AM
220851,Tree Removal,2025-04-05 10:11 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","2330 Otto St,  Houston,  Texas,  77093","4, ZONE",454A,77093,CLOSED,2025-04-05,10:11 AM
220852,Tree Trim,2025-04-05 10:53 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - BHATTARAI, NIMESH","5423 Imogene St,  Houston,  Texas,  77096","7, ZONE",531P,77096,CLOSED,2025-04-05,10:53 AM
220853,Tree Removal,2025-04-05 11:21 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","2221 Paul Quinn St,  Houston,  Texas,  77091","3, ZONE",452A,77091,CLOSED,2025-04-05,11:21 AM
220854,Tree Trim,2025-04-05 11:30 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","963 St Augustine St,  Houston,  Texas,  77023","5, ZONE",494S,77023,CLOSED,2025-04-05,11:30 AM
220855,Tree Removal,2025-04-05 11:54 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY","1924 Brun St,  Houston,  Texas,  77019","2, ZONE",492R,77019,ROUTE,2025-04-05,11:54 AM
220857,Tree Trim,2025-04-05 04:37 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - BHATTARAI, NIMESH","5711 Firenza Dr,  Houston,  Texas,  77035","7, ZONE",571E,77035,CLOSED,2025-04-05,04:37 PM
220861,Tree Trim,2025-04-06 01:18 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","1819 Commerce St,  Houston,  Texas,  77002","1, ZONE",493M,77002,CLOSED,2025-04-06,01:18 AM
220862,Tree Trim,2025-04-06 10:28 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","2616 Bagby St,  Houston,  Texas,  77006","2, ZONE",493P,77006,CLOSED,2025-04-06,10:28 AM
220863,Tree Trim,2025-04-06 02:10 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","1602 Banks St,  Houston,  Texas,  77006","7, ZONE",492Z,77006,CLOSED,2025-04-06,02:10 PM
220865,Tree Trim,2025-04-06 10:51 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","13838 Aspen Knoll Ct,  Houston,  Texas,  77059","5, ZONE",618A,77059,CLOSED,2025-04-06,10:51 PM
220866,Tree Removal,2025-04-07 12:45 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","4118 T C Jester Blvd,  Houston,  Texas,  77018","3, ZONE",451M,77018,CLOSED,2025-04-07,12:45 AM
220872,Tree Trim,2025-04-07 07:59 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - BHATTARAI, NIMESH","1600 Alabama St,  Houston,  Texas,  77004","2, ZONE",493X,77004,CLOSED,2025-04-07,07:59 AM
220873,Tree Trim,2025-04-07 08:02 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - BHATTARAI, NIMESH","6018 Warm Springs Rd,  Houston,  Texas,  77035","7, ZONE",570D,77035,CLOSED,2025-04-07,08:02 AM
220876,Tree Removal,2025-04-07 08:59 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","6018 Warm Springs Rd,  Houston,  Texas,  77035","7, ZONE",570D,77035,CLOSED,2025-04-07,08:59 AM
220877,Tree Removal,2025-04-07 09:14 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","8510 Lavender St,  Houston,  Texas,  77016","4, ZONE",454G,77016,CLOSED,2025-04-07,09:14 AM
220879,Tree Trim,2025-04-07 09:32 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","11002 Linden Gate Dr,  Houston,  Texas,  77075","6, ZONE",575Z,77075,CLOSED,2025-04-07,09:32 AM
220880,Tree Removal,2025-04-07 09:38 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","2019 Dryden Rd,  Houston,  Texas,  77030","7, ZONE",532H,77030,CLOSED,2025-04-07,09:38 AM
220881,Tree Trim,2025-04-07 09:59 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5012 Travis St,  Houston,  Texas,  77002","7, ZONE",493W,77002,CLOSED,2025-04-07,09:59 AM
220882,Tree Trim,2025-04-07 10:05 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5012 Travis St,  Houston,  Texas,  77002","7, ZONE",493W,77002,CLOSED,2025-04-07,10:05 AM
220883,Tree Removal,2025-04-07 10:35 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","3710 Kinkaid St,  Houston,  Texas,  77093","4, ZONE",454B,77093,CLOSED,2025-04-07,10:35 AM
220884,Tree Trim,2025-04-07 11:02 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","3031 Wayne St,  Houston,  Texas,  77026","4, ZONE",494B,77026,ROUTE,2025-04-07,11:02 AM
220886,Tree Removal,2025-04-07 11:12 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","10426 Kelburn Dr,  Houston,  Texas,  77016 (Gleason Park)","4, ZONE",415W,77016,CLOSED,2025-04-07,11:12 AM
220887,Tree Trim,2025-04-07 11:54 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","8202 Hartford St,  Houston,  Texas,  77017","5, ZONE",535P,77017,CLOSED,2025-04-07,11:54 AM
220889,Tree Trim,2025-04-07 01:27 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","169 Luther St,  Houston,  Texas,  77076","4, ZONE",453B,77076,CLOSED,2025-04-07,01:27 PM
220892,Tree Removal,2025-04-07 02:42 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","12556 Zavalla St,  Houston,  Texas,  77085 (South Main Estates Park)","7, ZONE",570R,77085,CLOSED,2025-04-07,02:42 PM
220897,Tree Removal,2025-04-07 03:09 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1802 Yale St,  Houston,  Texas,  77008","3, ZONE",452V,77008,CLOSED,2025-04-07,03:09 PM
220900,Tree Trim,2025-04-07 03:18 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","Greenwich St & Bigwood St,  Houston,  Texas,  77078","4, ZONE",455B,77078,CLOSED,2025-04-07,03:18 PM
220901,Tree Removal,2025-04-07 03:42 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY","3113 Bell St,  Houston,  Texas,  77003","5, ZONE",493V,77003,CLOSED,2025-04-07,03:42 PM
220902,Tree Trim,2025-04-07 03:51 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","1110 Summer St,  Houston,  Texas,  77007","2, ZONE",493G,77007,CLOSED,2025-04-07,03:51 PM
220904,Tree Removal,2025-04-07 05:52 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","4514 Mcdermed Dr,  Houston,  Texas,  77035 (Willow Park)","7, ZONE",531Z,77035,CLOSED,2025-04-07,05:52 PM
220906,Tree Trim,2025-04-07 06:28 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","1814 Mckee St,  Houston,  Texas,  77009","4, ZONE",493H,77009,CLOSED,2025-04-07,06:28 PM
220907,Tree Removal,2025-04-07 06:28 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","6438 Kury Ln,  Houston,  Texas,  77008","3, ZONE",452X,77008,CLOSED,2025-04-07,06:28 PM
220921,Tree Trim,2025-04-08 09:18 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","12300 Aldine Westfield Rd,  Houston,  Texas,  77093 (Keith Wiess Park)","4, ZONE",413M,77093,CLOSED,2025-04-08,09:18 AM
220922,Tree Trim,2025-04-08 09:24 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","6400 Hamblen Dr,  Humble,  Texas,  77396 (Edmonds Park)","4, ZONE",375W,77396,ROUTE,2025-04-08,09:24 AM
220923,Tree Trim,2025-04-08 09:27 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","6034 W Airport Blvd,  Houston,  Texas,  77035","7, ZONE",570H,77035,CLOSED,2025-04-08,09:27 AM
220931,Tree Trim,2025-04-08 09:55 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","4614 Center St,  Houston,  Texas,  77007","2, ZONE",492H,77007,CLOSED,2025-04-08,09:55 AM
220932,Tree Stump Grinding,2025-04-08 09:57 AM,Tree Stump Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","4626 Smooth Oak Ln,  Houston,  Texas,  77053","7, ZONE",571V,77053,CLOSED,2025-04-08,09:57 AM
220934,Tree Trim,2025-04-08 10:55 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","3939 Hillcroft Ave,  Houston,  Texas,  77057","2, ZONE",490Z,77057,CLOSED,2025-04-08,10:55 AM
220935,Tree Removal,2025-04-08 11:04 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","7707 Candlegreen Ln,  Houston,  Texas,  77071","7, ZONE",570G,77071,CLOSED,2025-04-08,11:04 AM
220939,Tree Removal,2025-04-08 11:19 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","3514 Askew St,  Houston,  Texas,  77087","6, ZONE",534L,77087,CLOSED,2025-04-08,11:19 AM
220942,Tree Trim,2025-04-08 11:37 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","1013 W 7th 1/2 St,  Houston,  Texas,  77007","3, ZONE",492D,77007,CLOSED,2025-04-08,11:37 AM
220944,Tree Trim,2025-04-08 01:43 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","1012 Arlington St,  Houston,  Texas,  77008","3, ZONE",493A,77008,CLOSED,2025-04-08,01:43 PM
220945,Tree Removal,2025-04-08 02:25 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","6438 Kury Ln,  Houston,  Texas,  77008","3, ZONE",452X,77008,CLOSED,2025-04-08,02:25 PM
220948,Tree Removal,2025-04-08 02:59 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1101 Columbia St,  Houston,  Texas,  77008","3, ZONE",453W,77008,CLOSED,2025-04-08,02:59 PM
220950,Tree Trim,2025-04-08 03:02 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1101 Columbia St,  Houston,  Texas,  77008","3, ZONE",453W,77008,CLOSED,2025-04-08,03:02 PM
220952,Tree Trim,2025-04-08 03:23 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","Lyndhurst Dr & Herschelwood St,  Houston,  Texas,  77033","6, ZONE",534W,77033,CLOSED,2025-04-08,03:23 PM
220959,Tree Removal,2025-04-08 04:32 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","6100 E Orem Rd,  Houston,  Texas,  77048","6, ZONE",574Q,77048,CLOSED,2025-04-08,04:32 PM
220962,Tree Trim,2025-04-08 04:38 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","3905 Emancipation Ave,  Houston,  Texas,  77004","6, ZONE",493Y,77004,CLOSED,2025-04-08,04:38 PM
220963,Tree Trim,2025-04-08 04:44 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","7306 Boggess Rd,  Houston,  Texas,  77016","4, ZONE",415W,77016,CLOSED,2025-04-08,04:44 PM
220984,Tree Removal,2025-04-08 05:57 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ACOSTA, MELISSA","62 Briar Hollow Ln,  Houston,  Texas,  77027","2, ZONE",491R,77027,ROUTE,2025-04-08,05:57 PM
220993,Tree Removal,2025-04-09 07:08 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","4045 Lemac Dr,  Houston,  Texas,  77025 (Westwood Park)","7, ZONE",532S,77025,CLOSED,2025-04-09,07:08 AM
220994,Tree Trim,2025-04-09 07:11 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","14803 Estrellita Dr,  Houston,  Texas,  77060","4, ZONE",413A,77060,CLOSED,2025-04-09,07:11 AM
